CÓDIGO;AUTOR;TÍTULO;EJEM.
320/1044;ROS JUAN MANUEL; LOS DILEMAS DE LA DEMOCRACIA LIBERAL;2
320/1045;GIACALONA RITA;LOS EMPRESARIOS FRENTE AL GRUPO DE LOS TRES;2
320/1046;ZACCARA LUCIANO;LOS ENIGMAS DE IRÁN (CLAVES PARA TODOS);1
320/1047;SCHMITT CARL;LOS FUNDAMENTOS HISTÓRICOS-ESPIRITUALES DEL PARLAMENTARISMO EN SU SITUACIÓN ACTUAL ;1
320/1048;DELORME JEAN;LOS GRANDES HECHOS DE LA HISTORIA (ANTIGÜEDAD Y EDAD MEDIA);1
320/1049;GRAMSCI ANTONIO;LOS INTELECTUALES Y LA ORGANIZACIÓN DE LA CULTURA;1
320/1050;INFESTAS ÁNGEL/LAMBEA MARTA;LOS INTERESES DE LA SOCIOLOGÍA ACTUAL;3
320/1051;PETRELLA RICCARDO;LOS LÍMITES A LA COMPETITIVIDAD (COMO SE DEBE GESTIONAR LA ALDEA GLOBAL);1
320/1052;VON HUMBOLDT GUILLERMO;LOS LÍMITES DE LA ACCIÓN DEL ESTADO;1
320/1054;GARCIA-ALBEA JOSÉ/CATALÁ NATALIA/DIEZ C. JOSÉ;LOS LÍMITES DE LA GLOBALIZACIÓN;1
320/1055;BENJAMÍN ROGER;LOS LÍMITES DE LA POLÍTICA (BIENES COLECTIVOS Y CAMBIO POLÍTICO EN LAS SOC. POSTINDUSTRIALES);1
320/1056;NUSSBAUM MARTHA C.;"LOS LÍMITES DEL PATRIOTISMO (IDENTIDAD, PERTENENCIA Y ""CIUDADANÍA MUNDIAL";2
320/1057;ALTAMIRA CÉSAR;LOS MARXISMOS DEL NUEVO SIGLO;1
320/1058;MARKS ROBERT B.;LOS ORÍGENES DEL MUNDO MODERNO UNA NUEVA VISIÓN;1
320/1059;JORDÁN JAVIER;LOS ORÍGENES DEL TERROR (INDAGANDO EN LAS CAUSAS DEL TERRORISMO);1
320/1060;ABAL MEDINA JUAN ;LOS PARTIDOS POLÍTICOS  ¿UN MAL NECESARIO?;1
320/1061;CEREZO GALÁN PEDRO;AYALA - LOS POLÍTICOS;1
320/1062;FERRARI MARCELA;LOS POLÍTICOS EN LA REPÚBLICA RADICAL (PRÁCTICAS POLÍTICAS Y CONSTRUCCIÓN DE PODER);2
320/1063;MANÍN BERNARD ;LOS PRINCIPIOS DEL GOBIERNO REPRESENTATIVO;3
320/1064;GUTIÉRREZ AGUILAR RAQUEL;LOS RITMOS DEL PACHAKUTI (MOVILIZACIÓN Y LEVANTAMIENTO INDIGENA-POPULAR EN BOLIVIA;1
320/1065;ABAL MEDINA JUAN;LOS SENDEROS DE LA NUEVA IZQUIERDA PARTIDARIA;1
320/1066; ANTUNES RICARDO;LOS SENTIDOS DEL TRABAJO (ENSAYO SOBRE LA AFIRMACIÓN Y LA NEGACIÓN DEL TRABAJO);1
320/1067;ESTULIN DANIEL;LOS SEÑORES DE LAS SOMBRAS (LA RED DE GOBIERNOS Y SERVICIOS DE ESPIONAJE QUE DIRIGEN EN SEC…);1
320/1068;SUEIRO VICTOR;LOS SIETE PODERES (LO MEJOR ESTÁ POR VENIR);1
320/1069;AMABLE BRUNO/BARRÉ RÉMI/BOYER ROBERT;LOS SISTEMAS DE INNOVACIÓN EN LA ERA DE LA GLOBALIZACIÓN;1
320/1070;MEYER LORENZO/REYNA JOSÉ LUIS;LOS SISTEMAS POLÍTICOS EN AMÉRICA LATINA;1
320/1071;OBAMA BARACK;LOS SUEÑOS DE MI PADRE (UNA HISTORIA DE RAZA Y HERENCIA);1
320/1072;LETTIERI ALBERTO/PFEIFFER ANNETTE/PONTORIERO..;LOS TIEMPOS MODERNOS (DEL CAPITALISMO A LA GLOBALIZACIÓN SIGLOS XVII AL XXI);1
320/1073;ESPING COSTA ANDERSEN/PALIER BRUNO;LOS TRES GRANDES RETOS DEL ESTADO DEL BIENESTAR;2
320/1074;SINDICARO RICARDO;LOS TRES PERONISMOS (ESTADO Y PODER ECONÓMICO);3
320/1076;LÓPEZ MAYA MARGARITA/IÑIGO C. NICOLÁS.....;LUCHAS CONTREHEGEMÓNICAS Y CAMBIOS POLÍTICOS RECIENTES DE AMÉRICA LATINA;1
320/1077;SICILIA LUIS;LUIS EMILIO RECABARREN (EL SUEÑO COMUNISTA);1
320/1079;SORMAN GUY;MADE IN USA (COMO ENTENDER A LOS ESTADOS UNIDOS);2
320/1080;RICHARDS VERNON;MALATESTA PENSAMIENTO Y ACCIÓN REVOLUCIONARIA;1
320/1081;VERBITSKY HORACIO;MALVINAS (LA ÚLTIMA BATALLA DE LA TERCERA GUERRA MUNDIAL);2
320/1083;GUEVARA CHE / LUXEMBURGO ROSA/MARX / HENGELS;MANIFIESTO (TRES CLÁSICOS PARA CAMBIAR EL MUNDO) ;1
320/1084;FORTE FRANCESCO;MANUAL DE POLÍTICA ECONÓMICA (VOLUMEN 1);1
320/1085;FORTE FRANCESCO;MANUAL DE POLÍTICA ECONÓMICA (VOLUMEN 2);1
320/1086;FORTE FRANCESCO;MANUAL DE POLÍTICA ECONÓMICA (VOLUMEN 3);1
320/1087;FORTE FRANCESCO;MANUAL DE POLÍTICA ECONÓMICA (VOLUMEN 4) ;1
320/1088;PRADPI (PROG. REG. APOYO A LAS DEFENSORÍAS...);MANUAL DE BUENAS PRÁCTICAS INSTITUCIONALES DE LAS DEFENSORÍAS DE IBEROAMÉRICA;2
320/1090;PÉREZ DE CUELLAR JAVIER;MANUAL DE DERECHO DIPLOMÁTICO;1
320/1091;ZEBADÚA EMILIO;"MANUAL DEL ""FAIR PLAY"" (GUÍA ÉTICA PARA LA POLÍTICA)";1
320/1093; ALTHUSSER LOUIS;MAQUIAVELO Y NOSOTROS (AKAL CUESTIONES DE ANTAGONISMO;2
320/1096;MARTINEZ PANDIANI GUSTAVO;MARKETING POLITICO (CAMPAÑAS, MEDIOS Y ESTRATEGIAS ELECTORALES);1
320/1097;SANTIAGO GUSTAVO/VARELA ANALÍA;MARKETING POLITICO ELECTORAL PARA MUNICIPIOS;2
320/1098; ALTHUSSER LOUIS;MARX DENTRO DE SUS LÍMITES;1
320/1099;LEMKE/LEGRAND/BLANC/MONTAG/GIACOMELLI;MARX Y FOUCAULT;1
320/1100;HART ARMANDO;MARX ENGELS LA CONDICIÓN HUMANA (UNA VISIÓN DESDE LATINOAMÉRICA);1
320/1101;NEGRI ANTONIO;MARX MÁS ALLÁ DE MARX;1
320/1102;LUKÁCS GYORGY;MARX, ONTOLOGÍA DEL SER SOCIAL;1
320/1103;MAIZ RAMON Y OTROS;NACIONALISMO Y MOVILIZACIÓN POLÍTICA;1
320/1104;BONEFELD CON BONNET A./HOLLOWAY J./TISCHLER S.;MARXISMO ABIERTO (UNA VISIÓN EUROPEA Y LATINOAMERICANA);3
320/1105;LEHNING ARTURO;MARXISMO Y ANARQUISMO EN LA REVOLUCIÓN RUSA;1
320/1106;GUISÁN ESPERANZA;MÁS ALLÁ DE LA DEMOCRACIA;1
320/1107;GIDDEN ANTHONY;MÁS ALLÁ DE LA IZQUIERDA Y LA DERECHA (EL FUTURO DE LAS POLITICAS RADICALES);1
320/1108;ADAMOVSKY EZEQUIEL;MÁS ALLA DE LA VIEJA IZQUIERDA (SEIS ENSAYOS PARA UN NUEVO ANTICAPITAISMO);1
320/1109;AMIN SAMIR;MÁS ALLÁ DEL CAPITALISMO SENIL (POR UN SIGLO XOX NO NORTEMERICANOS;1
320/1110;KALBERG STEPHEN ;MAX WEBER (PRINCIPALES DIMENSIONES DE SU OBRA;1
320/1111;WEBER MAX/MARX KARL;KARL LOWITH;1
320/1112;MORIN EDGAR/LEFORT CLAUDE/CASTORIADIS C.;MAYO DEL 68: LA BRECHA;1
320/1113;HIDALGO ENRIQUE;MEDIOS O DEMOCRACIA (EL IMPACTO DE LOS MEDIOS DE COMUNICACIÓN SOBRE LA DIVISIÓN DE PODERES);2
320/1114;COLMEIRO JOSÉ F.;MEMORIA HISTORICA E IDENTIDAD CULTURAL DE LA POSTGUERRA A LA POSTMODERNIDAD;2
320/1115;ALFONSÍN RAÚL;MEMORIA POLITICA (TRANSICIÓN A LA DEMOCRACIA Y DERECHO HUMANOS);1
320/1116;DUHALDE EDUARDO;MEMORIAS DEL INCENDIO (LOS PRIMEROS 120 DÍAS DE MI PRESIDENCIA) ;2
320/1118;GRANATO LEONARDO/ODDONE NAHUEL;MERCOCIUDADES, RED DE INTEGRACIÓN (UNA NUEVA REALIDAD EN AMÉRICA LATINA) CLAVES PARA TODOS;1
320/1121;LINZ JUAN J.;MICHELS Y SU CONTRIBUCIÓN A LA SOCIOLOGÍA POLÍTICA;2
320/1122;TORREZ G. O. JOSÉ GUILLERMO;MINERIA E INTEGRACIÓN BOLIVIANA;1
320/1123;CECCHETTO SERGIO;MIRADAS CONTEMPORÁNEAS SOBRE LA SOCIEDAD FUTURA;1
320/1124;LACLAU ERNESTO;MISTICISMO, RETORICA Y POLÍTICA;1
320/1125; PANEBIANCO ANGELO;MODELOS DE PARTIDOS;1
320/1126;RODRÍGUEZ CHRIS / GARRATT CHRIS ;MODERNISMO PARA PRINCIPIANTES;2
320/1127;EDEL MEDICOA GLORIA;MODERNIZACIÓN Y DEMOCRACIA (SU IMPACTO EN LAS CONDICIONES DE VIDA) ;3
320/1128;RANDAZZO FLORENCIA;MODERNIZAR EL ESTADO PARA FORTALECER LA DEMOCRACIA (EL PROCESO DE MODERNIZACIÓN DEL ESTADO);1
320/1129;DURKHEIM EMILE;MONTESQUIU Y ROUSSEAU PRECURSORES DE LA SOCIOLOGIA;1
320/1130;DE GREIFF PABLO / DE GREIFF GUSTAVO;MORALIDAD, LEGALIDAD Y DROGAS;1
320/1131;PAPE A. ROBERT;MORIR PARA GANAR (LAS ESTRATEGIAS DEL TERRORISMO SUICIDA);1
320/1132;DELAMATA GABRIELA;MOVILIZACIONES SOCIALES: ¿NUEVAS CIUDADANÍAS?;2
320/1133;NEGRI ANTONIO;MOVIMIENTOS EN EL IMPERIO;1
320/1134;TENENBAUM JORGE ERNESTO;MOVIMIENTOS POPULARES EN LA HISTORIA DE NUESTRA AMÉRICA;2
320/1136;FERNÁNDEZ ARTURO;MOVIMIENTOS SOCIALES EN AMÉRICA LATINA;1
320/1137;CASTELLS MANUEL;MOVIMIENTOS SOCIALES URBANOS;1
320/1138;MIRZA CRISTIANO ADEL;MOVIMIENTOS SOCIALES Y SISTEMAS POLÍTICOS EN AMÉRICA LATINA;2
320/1139;DURÁN BARBA JAIME/NIETO SANTIAGO;MUJER, SEXUALIDAD, INTERNET Y POLÍTICA (LOS NUEVOS ELECTORES LATINOAMERICANOS) ;1
320/1140;OBLIGADO CLARA;MUJERES A CONTRACORRIENTE (LA OTRA MITAD DE LA HISTORIA);1
320/1141;ARCHENTI NELIDA/TULA MARÍA INÉS;MUJERES Y POLÍTICAS EN AMÉRICA LATINA (SISTEMAS ELECTORALES Y CUOTAS DE GÉNERO);2
320/1143;DEMELAS MARIE DANIELLE;NACIMIENTO DE LA GUERRA DE GUERRILLA (EL CHARIO DE ROSE SANTOS VARGAS 1814-1825);1
320/1144;GAUCHET MARCEL/MANENT PIERRE/ROSAVALLON P.;NACION Y MODERNIDAD;1
320/1145;GONZÁLES ENRIQUE JORGE;NACIÓN Y NACIONALISMO EN AMÉRICA LATINA ;2
320/1146;MONTENEGRO CARLOS;NACIONALISMO Y COLONIAJE;2
320/1147;MÁIZ RAMÓN;NACIONALISMO Y MOVILIZACIÓN POLÍTICA;4
320/1149;SALINAS JUAN;NARCOS, BANQUEROS Y CRIMINALES (ARMAS, DROGAS Y POLITICA EN AMÉRICA LATINA A PARTIR DEL…);1
320/1150;PANDOLFI ALESSANDRO;NATURALEZA HUMANA (LEXICO DE POLÍTICA);1
320/1151;BOLONIA SERGIO;NAZISMO Y CLASE OBRERA (1933-1993) BOLOGNA,S.;1
320/1152;ZEMELMAN HUGO;NECESIDAD DE CONCIENCIA (UN MODO DE CONSTRUIR CONOCIMIENTO);2
320/1153;HOLLOWAY JOHN/MATAMOROS F./TISCHLER S. ;NEGATIVIDAD Y REVOLUCIÓN (THEODOR W.ADORNO Y LA POLITICA);1
320/1154;BASUALDO M. EDUARDO/ARCEO ENRIQUE;NEOLIBERALISMO Y SECTORES DOMINANTES (TENDENCIAS GLOBALES Y EXPERIENCIAS NACIONALES);1
320/1155;GÓMEZ J. RICARDO;NEOLIBERALISMO Y SEUDOCIENCIA;1
320/1156;SALAMA PIERRE/VALIER JACQUES;NEOLIBERALISMO, POBREZAS Y DESIGUALDADES EN EL TERCER MUNDO ;2
320/1159;ESPOSITO ROBERTO/GALLI CARLO/VITIELLO V.;NIHILISMO Y POLITICA (CON TEXTOS DE JEAN-LUC NANCY, LEO STRAUSS, JACOB TAUBES;1
320/1160;ROIGE MARIANA;NIÑEZ, MARGINALIDAD Y POLÍTICAS PÚBLICAS (ANÁLISIS DE UN DISPOSITIVO ESTATAL);1
320/1161;VALLARINO RAÚL;HOMBRE CLAVE:PATRIA (UNA ESPÍA DEL KGB EN URUGUAY) ;1
320/1163;GORDILLO JOSÉ LUIS;NOSTALGIA DE OTRO FUTURO (LA LUCHA POR LA PAZ EN LA POSGUERRA FRÍA);1
320/1164;SAIN MARCELO FABIAN;NOTAS DE CIENCIA POLÍTICA (ESBOZO DE UNA SISTEMÁTICA SOCIAL DE LA POLÍTICA);1
320/1165;ARONSON PERLA;NOTAS PARA EL ESTUDIO DE LA GLOBALIZACIÓN (UN ABORDAJE MULTIDIMENSIONAL DE LA TRANS. SOC. --);2
320/1166;ECHEGARAY PATRICIO;NOTAS SOBRE LA REVOLUCIÓN LATINOAMERICANA;1
320/1167;GRAMSCI ANTONIO;NOTAS SOBRE MAQUIAVELO (SOBRE LA POLÍTICA Y SOBRE EL ESTADO MODERNO);1
320/1170;TUNNERMANN  BERNHEIM CARLOS;NOVENTA AÑOS DE LA REFORMA UNIVERSITARIA DE CÓRDOBA (1918-2008);2
320/1171;MARTÍ JOSÉ;NUESTRA AMERICA;1
320/1172;HUETE GARCIA MARÍA ÁNGELES;NUEVA GOBERNANZA Y SERVICIOS MUNICIPALES (EN ESTADOS UNIDOS, NORUEGA Y ESPAÑA) ;2
320/1173;PEÑALOZA CORDERO LUIS;NUEVA HISTORIA ECONÓMICA DE BOLIVIA (BOLIVIA EN EL SIGLO XX);1
320/1176;PEÑALOZA CORDERO LUIS;NUEVA HISTORIA ECONÓMICA DE BOLIVIA (EL ESTAÑO);1
320/1177;PEÑALOZA CORDERO LUIS;NUEVA HISTORIA ECONÓMICA DE BOLIVIA (LA COLONIA);1
320/1178;PEÑALOZA CORDERO LUIS;NUEVA HISTORIA ECONÓMICA DE BOLIVIA (LA GUERRA DEL PACÍFICO);1
320/1179;MORÍNIGO MARCOS A.; NUEVO DICCIONARIO DE AMERICANISMOS E INDIGENISMO;1
320/1180;GOODIN ROBERT/KLINGEMANN DIETER HANS ;NUEVO MANUAL CIENCIA POLÍTICA (TOMD I );2
320/1181;GOODIN ROBERT/KLINGEMANN DIETER HANS; NUEVO MANUAL CIENCIA POLITICA (TOMO II );2
320/1182;PAZ OCTAVIO;OBRAS COMPLETAS EXCURSIONES / INCURSIONES DOMINIO EXTRANJERO FUNDACIÓN Y DISIDENCIA DOMI ;1
320/1183;LUHMANN NIKLAS ;OBSERVACIONES DE LA MODERNIDAD (RACIONALIDAD Y CONTINGENCIA EN LA SOCIEDAD MODERNA);2
320/1184;LUCKÁCS GYORGY;"ONTOLOGIA DEL SER SOCIAL ""EL TRABAJO TEXTOS INEDITOS EN CASTELLANO";1
320/1185;ESCALANTE FABIÁN;OPERACIÓN CALIPSO (LA GUERRA SUCIA DE LOS ESTADOS UNIDOS CONTRA NICARAGUA 1979-1983) ;1
320/1186;DE LA RÚA FERNANDO;OPERACIÓN POLÍTICA (LA CAUSA DEL SENADO);2
320/1188;DE PIERO SERGIO ;ORGANIZACIONES DE LA SOCIEDAD CIVIL (TENSIONES DE UNA AGENDA EN CONSTRUCCIÓN);1
320/1189;KLEIN HERBERT S.;ORIGENES DE LA REVOLUCIÓN NACIONAL BOLIVIANA;2
320/1190;MAPIONE DANIEL;ORIGENES ESTATALES DEL PERONISMO ;1
320/1191;BRAUNER SUSANA;ORTODOXIA RELIGIOSA Y PRAGMATISMO POLITICO (LOS JUDÍOS DE ORIGEN SIRIO);1
320/1192;VIRNO PAOLO;PALABRAS CON PALABRAS (PODERES Y LÍMITES DEL LENGUAJE);1
320/1193;CHEDID SAAD;PALESTINA (EL HOLOCAUSTO IGNORADO) VENCEREMOS;1
320/1194;MARLX KARL;PARA ENTENDER LA EXPLOTACIÓN CAPITALISTA (COMPILADO POR: GONZÁLES JUAN R. MERCANTE ESTEBAN);1
320/1196;LAHIRE BERNARD;¿PARA QUE SIRVE LA SOCIOLOGIA?;1
320/1198;RESNIK MARIO HÉCTOR;PARADIGMAS EN CIENCIA POLÍTICA ;3
320/1200;VEZZETTI HUGO;PASADO Y PRESENTE (GUERRA, DICTADURA Y SOCIEDAD EN LA ARGENTINA);1
320/1201;MARRAMAO GIACOMO;PASAJE A OCCIDENTE (FILOSOFÍA Y GLOBALIZACIÓN) ;1
320/1202;ETCICHURY LEANDRO;PATRIA VASCA Y LIBERTAD (POLITICA, IDENTIDAD Y VIOLENCIA EN EL OCCIDENTE EUROPEO);1
320/1203;ZABLUDOVSKY KUPER GINA;PATRIMONIALISMO Y MODERNIZACIÓN (PODER Y DOMINACIÓN EN LA SOCIOLOGIA DEL ORIENTE DE M. W. ;1
320/1204;FERNÁNDEZ RETAMAR ROBERTO;PENSAMIENTO DE NUESTRA AMÉRICA (AUTOREFLEXIONES Y PROPUESTAS);1
320/1205;DOBSON ANDREW;PENSAMIENTO POLÍTICO VERDE (UNA NUEVA IDEOLOGÍA PARA EL SIGLO XXI);1
320/1206;GAMBINA JULIO C./RAILAND BEATRIZ/CAMPIONE D.;PENSAMIENTO Y ACCIÓN POR EL SOCIALISMO. AMÉRICA LATINA EN EL SIGLO XXI ;2
320/1207;KOHAN NÉSTOR;PENSAR A CONTRAMANO (PROLOGO DE OSVALDO BAYER) ;1
320/1208;GUGLIALMELLI JUAN ENRIQUE;PENSAR CON ESTRATEGIA (CON PRÓLOGO DE ANA JARAMILLO);1
320/1209;PIÑEIRO ÍÑIGUEZ CARLOS;HERNÁNDEZ ARREGUI INTELECTUAL PERONISTA (PENSAR EL NACIONALISMO POPULAR DESDE EL MARXISMO) ;1
320/1210;SEMPRÚN JORGE;PENSAR EN EUROPA (PRÓLOGO DE JOSEP RAMONEDA);1
320/1211;GUIBOURG RICARDO A.;PENSAR EN LAS NORMAS;3
320/1212;ARFUCH LEONOR;PENSAR ESTE TIEMPO (ESPACIOS, AFECTOS, PERTENENCIAS);1
320/1213;MORÍN EDGAR;PENSAR EUROPA (LA METAMORFOSIS DE UN CONTINENTE) ;1
320/1214;LEWKOWICZ IGNACIO; PENSAR SIN ESTADO (LA SUBJETIVIDAD EN LA ERA DE LA FLUIDEZ);2
320/1215;CONSEJO DE CAPITANES GUARANÍES-CHUQUISACA ;ESTATUTO AUTONÓMICO Y DE DESCENTRALIZACIÓN DEL DEPARTAMENTO DE CHUQUISACA ;1
320/1216;PIÑEIRO INIGUEZ CARLOS;PERÓN LA FORMACIÓN DE SU PENSAMIENTO;1
320/1217;MARESCA SILVIO JUAN;PERÓN Y LA FILOSOFÍA;1
320/1219;PETRAS J. LA PORTE R.;PERÚ: ¿TRANSFORMACIÓN REVOLUCIONARIA O MODERNIZACIÓN?;1
320/1220;PANGTAY CHOW SUSANA;PETROQUÍMICA Y SOCIEDAD;1
320/1221;LAFFORGUE MARTÍN;PIERRE BOUDIEU PARA PRINCIPIANTES;2
320/1222;WOODWARD BOB;PLAN DE ATAQUE;1
320/1223;MATUS CARLOS;PLANIFICAR PARA GOBERNAR: EL MÉTODO PES;1
320/1224;DIVENOSA MARISA;PLATÓN / LAQUES MENÓN (INTRODUCCIÓN, TRADUCCIÓN Y NOTAS);1
320/1225;MÁRSICO CLAUDIA;PLATÓN CRÁTILO;1
320/1226;PRIETO LUZ M.PRIETO LUZ M.;PLATÓN APOLOGÍA DE SÓCRATES CRITÓN. FEDÓN;1
320/1228;GONZÁLES DE DUHALDE HILDA;POBREZA Y ESTADO (HACIA UN NUEVO PACTO SOCIAL);1
320/1229;CHOMSKY NOAM;POCOS PRÓSPEROS MUCHOS DESCONTENTOS (ENTREVISTA POR DAVID BARSAMIAN);1
320/1230; LUHMANN NIKLAS;PODER (INTRODUCCIÓN DE DARIO RODRÍGUEZ MANSILLA);2
320/1231;SANTUCHO MARIO ROBERTO;PODER BURGUÉS Y PODER REVOLUCIONARIO;2
320/1232;POULANTZAS NICOSPOULANTZAS NICOS;PODER POLÍTICO Y CLASES SOCIALES EN EL ESTADO CAPITALISTA (NICOS POULANTZAS);2
320/1233;ECKSTEIN SUSAN;PODER Y PROTESTA POPULAR (MOVIMIENTOS SOCIALES LATINOAMERICANOS);1
320/1234;GARCIA VENTURINI JORGE L.;POLITEIA;1
320/1235;ARISTÓTELESARISTÓTELES;POLÍTICA (COLECCIÓN GRIEGOS Y LATINOS);2
320/1236;ARISTÓTELES;POLÍTICA;1
320/1237;CHAUI MARILENA;POLÍTICA EN SPINOZA (PRÓLOGO DE DIEGO TATIAN);1
320/1238;DELPECH TERESA;POLÍTICA DEL CAOS;2
320/1240;STEFANONI PABLO/DO ALTO HERVÉ;LA REVOLUCIÓN DE EVO MORALES DE LA COCA AL PALACIO;2
320/1241;BARBÉ  ESTHER;POLÍTICA EXTERIOR EUROPEA;1
320/1242;DEL PERCIO ENRIQUE;POLÍTICA O DESTINO;1
320/1243;CORREAS CARLOS;MAX WEBER POLÍTICA Y CIENCIA;3
320/1245;SARABIA IRUSTA ARTURO;POLÍTICA Y DOCTRINA (APLICACIÓN DEL SOCIALISMO A LA REVOLUCIÓN BOLIVIANA) ;1
320/1246;SARABIA IRUSTA ARTURO;POLÍTICA Y DOCTRINA (BASES DOCTRINALES, FILOSÓFICAS Y POLÍTICAS DEL SOCIALISMO);1
320/1247;SARABIA IRUSTA ARTURO;POLÍTICA Y DOCTRINA (REALIZACIONES HISTÓRICAS DEL SOCIALISMO);1
320/1248;BORON ATILIO A./LECHINI GLADYS;POLÍTICA Y MOVIMIENTOS SOCIALES EN UN MUNDO HEGEMÓNICO;2
320/1249;CORBETTA JUAN CARLOS/PIANA RICARDO S.;POLITICA Y ORDEN MUNDIAL (ENSAYOS SOBRE CARL SCHMITT);3
320/1251;LANDAU MATÍAS;POLÍTICA Y PARTICIPACIÓN CIUDADANA;1
320/1252;WOLIN SHELDON S.;POLÍTICA Y PERSPECTIVA (CONTINUIDAD Y CAMBIO EN EL PENSAMIENTO POLÍTICO OCCIDENTAL);2
320/1254;FERNÁNDEZ ANA MARÍA;POLÍTICA Y SUBJETIVIDAD (ASAMBLEAS BARRIALES Y FABRICAS RECUPERADAS);1
320/1255;RINESI EDUARDO;POLÍTICA Y TRAGEDIA (HAMLET, ENTRE HOBBES Y MAQUIAVELO);1
320/1256;FREDERIC SABINA/SOPRANO GERMAN ;POLITICA Y VARIACIONES DE ESCALAS EN EL ANÁLISIS DE LA ARGENTINA;1
320/1257;CALVEIRO  PILAR;POLÍTICA Y/O VIOLENCIA (UNA APROXIMACIÓN A LA GUERRILLA DE LOS AÑOS 70);1
320/1258;CASADO DEMETRIO;POLÍTICAS DE SERVICIOS SOCIALES;3
320/1259;GOUREVITCH PETER;POLÍTICAS ESTRATÉGICAS EN TIEMPOS DIFÍCILES (RESPUESTAS COMPARATIVAS A LAS CRISIS ECON INTER...) ;1
320/1261;AQUÍN NORA/CARO RUBÉN;POLÍTICAS PÚBLICAS, DERECHOS Y TRABAJO SOCIAL EN EL MERCOSUR;1
320/1262;RIQUE JUAN JOSÉ/ORSI RAÚL OSCAR;POLÍTICAS SOCIALES Y GLOBALIZACIÓN EL SENTIDO DEL TRABAJO SOCIAL EN UN CONTEXTO DE CRISIS MUNDIAL;1
320/1263;MACKINNON MARÍA MOIRA/PETRONE MARIO A.;POPULISMO Y NEOPOPULISMO EN AMÉRICA LATINA (EL PROBLEMA DE LA CENICIENTA);1
320/1265;MOCTEZUMA BARRAGÁN ESTEBAN/ROEMER ANDRÉS;POR UN GOBIERNO CON RESULTADOS;1
320/1266;PRATS JOAN;POR UNA IZQUIERDA DEMOCRÁTICA (ESCRITOS PENSANDO EN BOLIVIA);2
320/1267;GARCÍA HAMILTON IGNACIO JOSÉ ;POR QUÉ CRECEN LOS PAÍSES?;3
320/1268;SARDAR ZIAUDDIN / WYN DAVIES MERRYL;¿POR QUE LA GENTE ODIA E.EU.U.? DEUDAS PENDIENTES DE LA ERA NEOCONSERVADORA;1
320/1269;CAPPELLETTI ÁNGEL;PREHISTORIA DEL ANARQUISMO;2
320/1271;LAMBERO ÓSCARLAMBERO ÓSCAR;PRESUPUESTO Y CONTROL PARLAMENTARIO;2
320/1273;GATTY JEAN ;PRINCIPIOS DE UNA NUEVA TEORÍA DEL ESTADO;2
320/1274;POWER SAMANTHA;PROBLEMA INFERNAL (ESTADOS UNIDOS EN LA ERA DEL GENOCIDIO) PREMIO PULITZER 2003;1
320/1275;SONNTAG HEINZ R.;PROCESOS SOCIALES EN MARCHA: LA NUEVA UTOPIA NECESARIA;1
320/1276;RIVOLTA MARÍA CLARA/NIELSEN AXEL E.;PROCESOS SOCIALES PREHISPÁNICOS EN EL SUR ANDINO;1
320/1277;ECONOMISTAS DE IZQUIERDA;PROPUESTAS SOCIALISTAS PARA SUPERAR LA CRISIS NACIONAL;1
320/1278;SABSAY FERNANDO;PROTAGONISTAS DE AMÉRICA LATINA;2
320/1279;MARTÍNEZ GARCÍA JAVIER;PROTÁGORAS, GORGIAS CARTA SÉPTIMA PLATÓN;1
320/1280;CARRASCO ARDAYA GERMAN;PROTOEVOLUCIÓN;1
320/1281;ROUSSEAU JEAN JACQUES;PROYECTO DE CONSTITUCIÓN PARA CÓRCEGA ;1
320/1283;ALBI EMILIO;PÚBLICO Y PRIVADO UN ACUERDO NECESARIO;2
320/1284;ARGUEDAS ALCIDES;PUEBLO ENFERMO;1
320/1286;BRIEGER PEDRO;¿QUÉ ES AL QAEDA? (TERRORISMO Y VIOLENCIA POLÍTICA);1
320/1287;QUETGLAS FABIO;¿QUÉ ES EL DESARROLLO LOCAL?  (TERRITORIO, POLÍTICAS Y ECONOMÍA) ;2
320/1288;ECHAIDE JAVIER/GHIOTTO LUCIANA;¿QUÉ ES EL LIBRE COMERCIO? (ENTRE MITOS Y REALIDADES);1
320/1289;TSUR JACOB;¿QUÉ ES EL SIONISMO?;1
320/1290;WEBER MAX;¿QUÉ ES LA BUROCRACIA?;2
320/1292;PROUDHON PIERRE JOSÉ;¿QUÉ ES LA PROPIEDAD?;1
320/1294;VAN PARUS FELIPE;¿QUÉ ES UNA SOCIEDAD JUSTA? (INTRODUCCIÓN A LA PRÁCTICA DE LA FILOSOFÍA POLÍTICA);1
320/1295;LENIN VLADIMIR ILICH;¿QUE HACER? PROBLEMAS CANDENTES DE NUESTRO MOVIMIENTO;1
320/1296;IGLESIAS FERNANDO A.;¿QUÉ SIGNIFICA HOY SER DE IZQUIERDA Y REFLEXIONES SOBRE LA IZQUIERDA EN LOS TIEMPOS DE LA GLOBA..;2
320/1298;BUTLER JUDITH / CHAKRAVORTY SPIVAK GAYATRI;¿QUIEN LE CANTA AL ESTADO-NACIÓN? LENGUAJE, POLITICA, PERTENENCIA;1
320/1299;RIECHMANN JORGE/ RECIO ALBERT;QUIÉN PARTE Y REPARTE (EL DEBATE SOBRE LA REDUCCIÓN DEL TIEMPO DE TRABAJO);1
